ICB23CD,ICB23NM,mh_snomed,mhsds_flag,Der_Financial_Year,assess_attends,assess_time_total,treat_attends,treat_time_total,conclude_attends,conclude_time_total,depart_attends,depart_time_total,decadm_attends,decadm_time_total
E54000018,NHS Coventry and Warwickshire Integrated Care Board,1,1,2023/24,913,14484,1148,182953,1148,182953,1129,382235,56,15374
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,0,0,2019/20,8544,169296,9999,869489,10458,1646954,10465,1656626,430,68485
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,0,0,2020/21,10383,126378,9716,606106,15042,1581877,15061,2107576,332,48190
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,0,0,2021/22,36126,666360,38514,3832533,38594,3962526,38934,6765712,738,140706
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,0,0,2022/23,40394,861961,41143,4572219,41144,4574807,41792,8091337,1355,236902
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,0,0,2023/24,39390,708904,39854,4065761,39854,4065761,40511,7755634,2325,290811
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,0,1,2019/20,3475,71833,4125,414235,4334,792166,4336,807528,284,54489
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,0,1,2020/21,5504,71753,4850,339061,7159,841988,7167,1237715,285,44965
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,0,1,2021/22,14264,273781,15309,1713201,15350,1784116,15475,3310014,527,116768
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,0,1,2022/23,13737,335797,14091,1785938,14091,1786571,14249,3496098,558,133804
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,0,1,2023/24,12750,255108,12914,1618645,12914,1618645,13145,3275261,626,132961
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,1,0,2019/20,14,232,14,1185,14,3097,14,3098,1,194
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,1,0,2020/21,61,840,52,4127,71,9967,71,13325,0,0
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,1,0,2021/22,98,1701,105,14642,105,14859,104,27317,2,120
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,1,0,2022/23,90,2229,92,15045,92,15045,91,23798,0,0
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,1,0,2023/24,92,1658,95,13624,95,13624,95,25954,2,644
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,1,1,2019/20,231,7247,259,31548,261,79115,261,81593,9,1461
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,1,1,2020/21,566,8377,400,33874,652,120960,655,168162,8,902
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,1,1,2021/22,947,18006,1011,143508,1012,149821,1010,301991,24,5518
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,1,1,2022/23,901,23339,930,145464,930,145464,919,286934,28,8537
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,1,1,2023/24,855,17839,871,131450,871,131450,855,275520,41,8642
E54000022,NHS Norfolk and Waveney Integrated Care Board,0,0,2019/20,38385,1062204,46129,3682910,46786,7311896,46770,7490882,2922,512756
E54000022,NHS Norfolk and Waveney Integrated Care Board,0,0,2020/21,27202,474009,30219,1607139,30601,4028064,30572,4169646,1836,289529
E54000022,NHS Norfolk and Waveney Integrated Care Board,0,0,2021/22,47048,1113018,49157,3897857,49483,7253950,49601,8583024,2796,546637
E54000022,NHS Norfolk and Waveney Integrated Care Board,0,0,2022/23,47443,944919,51639,3949133,51639,3950806,52397,9195518,3093,638937
E54000022,NHS Norfolk and Waveney Integrated Care Board,0,0,2023/24,41785,582832,52212,2910044,52212,2910044,53026,7943850,2935,473882
E54000022,NHS Norfolk and Waveney Integrated Care Board,0,1,2019/20,19543,623055,23656,2188080,24055,4356402,24051,4488688,2058,430813
E54000022,NHS Norfolk and Waveney Integrated Care Board,0,1,2020/21,16093,358482,18121,1242354,18379,3025060,18349,3132637,1885,356998
E54000022,NHS Norfolk and Waveney Integrated Care Board,0,1,2021/22,21987,631777,23264,2381467,23399,4329217,23498,5114304,2237,507139
E54000022,NHS Norfolk and Waveney Integrated Care Board,0,1,2022/23,18688,470308,21095,2055982,21095,2057638,21398,4837892,2003,508390
E54000022,NHS Norfolk and Waveney Integrated Care Board,0,1,2023/24,15678,270693,20051,1476680,20051,1476680,20484,4049758,1975,388989
E54000022,NHS Norfolk and Waveney Integrated Care Board,1,0,2019/20,133,4643,152,14541,158,28888,158,28764,3,581
E54000022,NHS Norfolk and Waveney Integrated Care Board,1,0,2020/21,130,3597,140,10444,142,22163,142,23181,0,0
E54000022,NHS Norfolk and Waveney Integrated Care Board,1,0,2021/22,165,5993,172,21838,173,33311,173,38845,6,1200
E54000022,NHS Norfolk and Waveney Integrated Care Board,1,0,2022/23,140,3319,168,19098,168,19098,170,37132,2,199
E54000022,NHS Norfolk and Waveney Integrated Care Board,1,0,2023/24,145,1905,179,14107,179,14107,182,34045,8,949
E54000022,NHS Norfolk and Waveney Integrated Care Board,1,1,2019/20,1298,57647,1551,193348,1571,401912,1568,412237,114,32228
E54000022,NHS Norfolk and Waveney Integrated Care Board,1,1,2020/21,1221,37014,1314,135616,1322,325189,1321,336349,131,33430
E54000022,NHS Norfolk and Waveney Integrated Care Board,1,1,2021/22,1533,53973,1594,194189,1587,384515,1589,454160,132,40867
E54000022,NHS Norfolk and Waveney Integrated Care Board,1,1,2022/23,1248,34599,1464,159092,1464,159092,1441,430734,170,52735
E54000022,NHS Norfolk and Waveney Integrated Care Board,1,1,2023/24,1364,29868,1567,129946,1567,129946,1556,419130,196,44718
E54000023,NHS Suffolk and North East Essex Integrated Care Board,0,0,2019/20,26120,416835,27965,2396593,30504,4003172,30952,4836812,3726,530059
E54000023,NHS Suffolk and North East Essex Integrated Care Board,0,0,2020/21,15590,194923,17286,797238,18188,1798538,18465,2275658,2214,272029
E54000023,NHS Suffolk and North East Essex Integrated Care Board,0,0,2021/22,36116,622427,38967,2786103,39078,3959257,41964,6993716,3910,607238
E54000023,NHS Suffolk and North East Essex Integrated Care Board,0,0,2022/23,37198,750657,39388,3389731,39391,3393603,43759,8333371,3643,677347
E54000023,NHS Suffolk and North East Essex Integrated Care Board,0,0,2023/24,34434,564174,36515,2855848,36515,2855848,40468,7284753,3860,664437
E54000023,NHS Suffolk and North East Essex Integrated Care Board,0,1,2019/20,12642,225453,13627,1261298,14964,2172110,15214,2632673,2103,358284
E54000023,NHS Suffolk and North East Essex Integrated Care Board,0,1,2020/21,8950,121626,9958,527950,10560,1254564,10721,1582307,1594,231844
E54000023,NHS Suffolk and North East Essex Integrated Care Board,0,1,2021/22,15268,306125,16450,1345872,16564,1962851,18073,3566931,2106,415940
E54000023,NHS Suffolk and North East Essex Integrated Care Board,0,1,2022/23,13838,350127,14881,1458612,14882,1461172,16771,3994159,1735,437205
E54000023,NHS Suffolk and North East Essex Integrated Care Board,0,1,2023/24,13553,284261,14268,1283029,14268,1283029,15890,3669239,1900,448736
E54000023,NHS Suffolk and North East Essex Integrated Care Board,1,0,2019/20,29,607,36,4378,37,5876,37,7060,0,0
E54000023,NHS Suffolk and North East Essex Integrated Care Board,1,0,2020/21,16,229,20,1410,20,2824,20,3146,1,200
E54000023,NHS Suffolk and North East Essex Integrated Care Board,1,0,2021/22,38,654,46,4568,46,4953,46,10684,0,0
E54000023,NHS Suffolk and North East Essex Integrated Care Board,1,0,2022/23,44,1062,48,3337,48,3337,46,9039,6,1833
E54000023,NHS Suffolk and North East Essex Integrated Care Board,1,0,2023/24,44,892,50,5591,50,5591,49,12116,2,586
E54000023,NHS Suffolk and North East Essex Integrated Care Board,1,1,2019/20,279,6445,313,39308,326,68523,329,77813,53,9358
E54000023,NHS Suffolk and North East Essex Integrated Care Board,1,1,2020/21,103,1490,110,7839,114,18196,113,21650,10,1654
E54000023,NHS Suffolk and North East Essex Integrated Care Board,1,1,2021/22,376,6782,431,32684,434,43337,430,123460,39,16921
E54000023,NHS Suffolk and North East Essex Integrated Care Board,1,1,2022/23,368,12198,392,42855,392,42905,374,126629,41,16928
E54000023,NHS Suffolk and North East Essex Integrated Care Board,1,1,2023/24,392,7873,419,40709,419,40709,390,130378,46,22164
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,0,0,2019/20,53464,955715,49587,4823375,54354,11045012,56293,8307999,3239,563761
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,0,0,2020/21,33924,578158,34651,3409079,36019,6920250,36914,4655567,1909,268384
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,0,0,2021/22,57741,1345533,56788,6314926,56193,11507986,61383,11036500,3212,562373
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,0,0,2022/23,67014,1679718,67534,8030710,67536,8036238,70671,12682300,3177,629813
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,0,0,2023/24,64196,1323195,64640,7003975,64640,7003975,67598,11577162,3290,645998
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,0,1,2019/20,24350,449881,22006,2141503,24833,5364691,25800,4292199,1651,351639
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,0,1,2020/21,16794,325916,16986,1481563,17840,3706025,18249,2868783,1104,207286
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,0,1,2021/22,22549,643671,22027,2551397,21683,4800452,24083,5159254,1104,252797
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,0,1,2022/23,22381,679293,22418,2798347,22417,2799809,23930,5353057,973,252628
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,0,1,2023/24,20710,508448,20863,2281789,20863,2281789,22310,4904915,997,263187
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,1,0,2019/20,89,2093,83,9059,91,21126,93,15884,2,231
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,1,0,2020/21,125,2539,124,7484,125,24075,127,18947,0,0
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,1,0,2021/22,122,3883,121,15679,117,31766,123,28543,2,556
