ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
LC2109EWls0294,Count,Person,"Age 40 to 44, White: Other White"
LC2109EWls0295,Count,Person,"Age 40 to 44, Mixed/multiple ethnic group: Total"
LC2109EWls0296,Count,Person,"Age 40 to 44, Mixed/multiple ethnic group: White and Black Caribbean"
LC2109EWls0297,Count,Person,"Age 40 to 44, Mixed/multiple ethnic group: White and Black African"
LC2109EWls0298,Count,Person,"Age 40 to 44, Mixed/multiple ethnic group: White and Asian"
LC2109EWls0299,Count,Person,"Age 40 to 44, Mixed/multiple ethnic group: Other Mixed"
LC2109EWls0300,Count,Person,"Age 40 to 44, Asian/Asian British: Total"
LC2109EWls0301,Count,Person,"Age 40 to 44, Asian/Asian British: Indian"
LC2109EWls0302,Count,Person,"Age 40 to 44, Asian/Asian British: Pakistani"
LC2109EWls0303,Count,Person,"Age 40 to 44, Asian/Asian British: Bangladeshi"
LC2109EWls0304,Count,Person,"Age 40 to 44, Asian/Asian British: Chinese"
LC2109EWls0305,Count,Person,"Age 40 to 44, Asian/Asian British: Other Asian"
LC2109EWls0306,Count,Person,"Age 40 to 44, Black/African/Caribbean/Black British: Total"
LC2109EWls0307,Count,Person,"Age 40 to 44, Black/African/Caribbean/Black British: African"
LC2109EWls0308,Count,Person,"Age 40 to 44, Black/African/Caribbean/Black British: Caribbean"
LC2109EWls0309,Count,Person,"Age 40 to 44, Black/African/Caribbean/Black British: Other Black"
LC2109EWls0310,Count,Person,"Age 40 to 44, Other ethnic group: Total"
LC2109EWls0311,Count,Person,"Age 40 to 44, Other ethnic group: Arab"
LC2109EWls0312,Count,Person,"Age 40 to 44, Other ethnic group: Any other ethnic group"
LC2109EWls0313,Count,Person,"Age 45 to 49, All categories: Ethnic group"
LC2109EWls0314,Count,Person,"Age 45 to 49, White: Total"
LC2109EWls0315,Count,Person,"Age 45 to 49, White: English/Welsh/Scottish/Northern Irish/British"
LC2109EWls0316,Count,Person,"Age 45 to 49, White: Irish"
LC2109EWls0317,Count,Person,"Age 45 to 49, White: Gypsy or Irish Traveller"
LC2109EWls0318,Count,Person,"Age 45 to 49, White: Other White"
LC2109EWls0319,Count,Person,"Age 45 to 49, Mixed/multiple ethnic group: Total"
LC2109EWls0320,Count,Person,"Age 45 to 49, Mixed/multiple ethnic group: White and Black Caribbean"
LC2109EWls0321,Count,Person,"Age 45 to 49, Mixed/multiple ethnic group: White and Black African"
LC2109EWls0322,Count,Person,"Age 45 to 49, Mixed/multiple ethnic group: White and Asian"
LC2109EWls0323,Count,Person,"Age 45 to 49, Mixed/multiple ethnic group: Other Mixed"
