ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,toa,mh_snomed,attends
E54000054,NHS West Yorkshire Integrated Care Board,2019/20,1,22,0,12159
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2020/21,1,16,1,35
E54000054,NHS West Yorkshire Integrated Care Board,2023/24,4,17,0,338
E54000061,NHS South Yorkshire Integrated Care Board,2023/24,1,21,1,127
E54000030,NHS South East London Integrated Care Board,2023/24,4,13,0,46
E54000030,NHS South East London Integrated Care Board,2020/21,1,9,1,45
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2019/20,3,11,0,2018
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2022/23,3,13,1,2
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2020/21,1,22,0,1289
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2023/24,1,18,0,6554
E54000054,NHS West Yorkshire Integrated Care Board,2022/23,1,11,1,120
E54000030,NHS South East London Integrated Care Board,2022/23,1,0,0,4170
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2022/23,4,19,0,5
E54000022,NHS Norfolk and Waveney Integrated Care Board,2021/22,1,17,1,107
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2021/22,1,10,1,40
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2023/24,1,7,0,749
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2019/20,3,9,0,119
E54000028,NHS North Central London Integrated Care Board,2022/23,4,14,0,1488
E54000061,NHS South Yorkshire Integrated Care Board,2019/20,1,22,1,98
E54000028,NHS North Central London Integrated Care Board,2022/23,3,7,0,541
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2020/21,3,15,0,1515
E54000059,NHS Northamptonshire Integrated Care Board,2021/22,3,11,0,3032
E54000034,NHS Frimley Integrated Care Board,2022/23,5,22,0,394
E54000059,NHS Northamptonshire Integrated Care Board,2023/24,3,6,0,9
