ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,toa,mh_snomed,attends
E54000034,NHS Frimley Integrated Care Board,2023/24,5,16,1,7
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2021/22,3,12,1,2
E54000026,NHS Mid and South Essex Integrated Care Board,2023/24,5,21,0,5
E54000031,NHS South West London Integrated Care Board,2022/23,5,8,1,2
E54000050,NHS North East and North Cumbria Integrated Care Board,2021/22,4,19,1,2
E54000037,NHS Devon Integrated Care Board,2019/20,4,21,0,2
E54000041,NHS Dorset Integrated Care Board,2023/24,3,12,1,6
E54000031,NHS South West London Integrated Care Board,2021/22,3,5,1,5
E54000013,NHS Lincolnshire Integrated Care Board,2023/24,3,21,1,18
E54000037,NHS Devon Integrated Care Board,2023/24,3,5,1,4
E54000062,NHS Black Country Integrated Care Board,2021/22,4,22,0,1
E54000062,NHS Black Country Integrated Care Board,2020/21,4,16,0,2
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2021/22,4,4,0,2
E54000013,NHS Lincolnshire Integrated Care Board,2021/22,4,21,0,2
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2022/23,5,18,0,1
E54000043,NHS Gloucestershire Integrated Care Board,2020/21,5,0,0,1
E54000037,NHS Devon Integrated Care Board,2020/21,5,23,0,1
E54000029,NHS North East London Integrated Care Board,2020/21,5,23,0,1
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2021/22,5,16,0,1
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2023/24,3,7,1,1
E54000062,NHS Black Country Integrated Care Board,2020/21,3,13,1,1
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2020/21,1,2,0,2341
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2022/23,1,0,0,6228
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2023/24,1,5,0,4257
E54000032,NHS Kent and Medway Integrated Care Board,2022/23,3,4,0,792
E54000027,NHS North West London Integrated Care Board,2023/24,1,13,0,33742
E54000054,NHS West Yorkshire Integrated Care Board,2021/22,3,18,0,3520
E54000062,NHS Black Country Integrated Care Board,2021/22,3,18,1,8
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,0,1,514
E54000013,NHS Lincolnshire Integrated Care Board,2022/23,3,16,1,41
E54000026,NHS Mid and South Essex Integrated Care Board,2020/21,1,9,0,9320
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2023/24,1,0,1,157
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2022/23,1,12,0,15078
E54000058,NHS Derby and Derbyshire Integrated Care Board,2022/23,1,10,0,12526
E54000026,NHS Mid and South Essex Integrated Care Board,2020/21,1,11,0,12709
E54000026,NHS Mid and South Essex Integrated Care Board,2023/24,4,13,0,20
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2022/23,1,8,1,77
E54000022,NHS Norfolk and Waveney Integrated Care Board,2021/22,1,3,0,3455
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2022/23,3,6,0,36
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2022/23,1,20,1,158
E54000026,NHS Mid and South Essex Integrated Care Board,2023/24,1,7,0,7539
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2023/24,5,19,0,12
E54000057,NHS Greater Manchester Integrated Care Board,2022/23,4,6,0,97
E54000050,NHS North East and North Cumbria Integrated Care Board,2022/23,1,15,1,405
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2022/23,3,20,1,14
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2022/23,4,17,0,6
E54000058,NHS Derby and Derbyshire Integrated Care Board,2023/24,1,17,1,276
E54000026,NHS Mid and South Essex Integrated Care Board,2023/24,1,12,0,27162
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,3,7,0,4236
E54000055,NHS Birmingham and Solihull Integrated Care Board,2022/23,1,15,0,28643
E54000034,NHS Frimley Integrated Care Board,2022/23,5,11,0,3274
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2022/23,4,8,0,35
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2021/22,3,17,1,20
E54000030,NHS South East London Integrated Care Board,2023/24,5,10,0,250
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2021/22,1,21,1,173
E54000054,NHS West Yorkshire Integrated Care Board,2020/21,4,21,0,2
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2023/24,1,5,0,4491
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,3,18,1,16
