ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,mh_snomed,mhsds_flag,attends,left_b4_completion
E54000031,NHS South West London Integrated Care Board,2022/23,3,0,0,103853,3035
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2019/20,3,1,0,9,1
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2019/20,1,0,1,106553,5539
E54000064,NHS Sussex Integrated Care Board,2023/24,99,0,1,2,0
E54000030,NHS South East London Integrated Care Board,2022/23,5,0,1,220,7
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2021/22,1,0,1,69573,2133
E54000030,NHS South East London Integrated Care Board,2022/23,1,0,0,364910,14478
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2022/23,5,0,0,54,0
E54000059,NHS Northamptonshire Integrated Care Board,2020/21,3,1,1,622,2
E54000059,NHS Northamptonshire Integrated Care Board,2019/20,1,0,0,134997,3182
E54000043,NHS Gloucestershire Integrated Care Board,2022/23,1,1,0,331,6
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2023/24,1,1,1,2988,125
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2023/24,3,0,1,36273,1384
E54000057,NHS Greater Manchester Integrated Care Board,2020/21,1,0,1,288568,11543
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2021/22,5,0,0,7,0
E54000026,NHS Mid and South Essex Integrated Care Board,2019/20,5,0,0,4,0
E54000059,NHS Northamptonshire Integrated Care Board,2022/23,3,0,0,92741,3213
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2023/24,3,0,1,21013,226
E54000057,NHS Greater Manchester Integrated Care Board,2022/23,5,0,0,24249,96
E54000030,NHS South East London Integrated Care Board,2023/24,1,1,0,726,23
E54000031,NHS South West London Integrated Care Board,2022/23,3,1,1,118,4
E54000058,NHS Derby and Derbyshire Integrated Care Board,2022/23,4,0,0,247,21
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2019/20,1,1,0,437,5
E54000054,NHS West Yorkshire Integrated Care Board,2019/20,1,0,0,542612,20195
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2020/21,1,0,0,119049,860
E54000055,NHS Birmingham and Solihull Integrated Care Board,2021/22,3,1,1,14,0
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2019/20,3,0,0,5536,119
E54000061,NHS South Yorkshire Integrated Care Board,2021/22,5,0,1,7,0
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2021/22,4,0,1,14,0
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2019/20,5,0,0,1,0
