age_group,ICB22CD,ICB22NM,SICBL22CD,SICBL22NM,IMD_Decile,rural_urban,gender,mh_symptom,mhsds_flag,Der_Financial_Year,MDS_Primary_Split,calls,cost
0-19,E54000032,NHS Kent and Medway Integrated Care Board,E38000237,NHS Kent and Medway ICB - 91Q,7,Urban,female,0,1,2021/22,Not Recommended to Attend Other Service,15,228
35-59,E54000022,NHS Norfolk and Waveney Integrated Care Board,E38000239,NHS Norfolk and Waveney ICB - 26A,10,Urban,female,0,0,2020/21,Not Recommended to Attend Other Service,56,1164
0-19,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E38000117,NHS Suffolk and North East Essex ICB - 06T,9,Rural,NULL,0,0,2021/22,NULL,2,48
60-74,E54000054,NHS West Yorkshire Integrated Care Board,E38000225,NHS West Yorkshire ICB - 15F,2,Rural,female,0,1,2020/21,Not Recommended to Attend Other Service,1,12
20-34,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,2,Urban,female,0,0,2019/20,Ambulance Dispatches,49,936
20-34,E54000041,NHS Dorset Integrated Care Board,E38000045,NHS Dorset ICB - 11J,6,Rural,male,0,1,2020/21,Recommended to Attend A&E,41,636
20-34,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,6,Urban,female,1,0,2021/22,5.23 (Ambulance),2,24
35-59,E54000022,NHS Norfolk and Waveney Integrated Care Board,E38000239,NHS Norfolk and Waveney ICB - 26A,3,Urban,male,1,1,2021/22,Ambulance Dispatches,1,24
60-74,E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,E38000222,NHS Bristol North Somerset and South Gloucestershire ICB - 15C,NULL,Urban,NULL,1,1,2019/20,Not Recommended to Attend Other Service,1,12
35-59,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,7,Rural,male,0,1,2019/20,Recommended to Attend Other Service,1,24
35-59,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000233,NHS Cheshire and Merseyside ICB - 27D,2,Rural,female,0,0,2019/20,Recommended to Attend Primary and Community Care,16,384
75+,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,7,Urban,male,0,0,2020/21,Not Recommended to Attend Other Service,425,6888
35-59,E54000022,NHS Norfolk and Waveney Integrated Care Board,E38000239,NHS Norfolk and Waveney ICB - 26A,2,Urban,male,0,1,2021/22,Not Recommended to Attend Other Service,128,2460
75+,E54000061,NHS South Yorkshire Integrated Care Board,E38000146,NHS South Yorkshire ICB - 03N,9,Urban,male,0,1,2021/22,Recommended to Attend Primary and Community Care,101,1776
75+,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000052,NHS Humber and North Yorkshire ICB - 02Y,5,Urban,female,0,1,2021/22,Ambulance Dispatches,13,180
60-74,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000227,NHS Lancashire and South Cumbria ICB - 01E,1,Urban,male,0,0,2021/22,5.26 (Other Service),11,252
0-19,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000227,NHS Lancashire and South Cumbria ICB - 01E,2,Urban,female,0,0,2019/20,Ambulance Dispatches,129,2460
35-59,E54000028,NHS North Central London Integrated Care Board,E38000240,NHS North Central London ICB - 93C,3,Rural,female,0,0,2021/22,Ambulance Dispatches,1,24
35-59,E54000043,NHS Gloucestershire Integrated Care Board,E38000062,NHS Gloucestershire ICB - 11M,6,Rural,male,1,1,2020/21,Recommended to Attend Primary and Community Care,2,48
0-19,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000188,NHS Humber and North Yorkshire ICB - 03Q,9,Rural,male,0,1,2020/21,NULL,2,36
75+,E54000038,NHS Somerset Integrated Care Board,E38000150,NHS Somerset ICB - 11X,4,Urban,male,0,0,2020/21,5.23 (Ambulance),1,12
35-59,E54000054,NHS West Yorkshire Integrated Care Board,E38000190,NHS West Yorkshire ICB - 03R,3,Rural,male,0,1,2021/22,Recommended to Attend Other Service,3,72
60-74,E54000018,NHS Coventry and Warwickshire Integrated Care Board,E38000251,NHS Coventry and Warwickshire ICB - B2M3M,9,Rural,male,0,0,2021/22,Not Recommended to Attend Other Service,4,84
0-19,E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,E38000249,NHS Bedfordshire Luton and Milton Keynes ICB - M1J4Y,6,Urban,male,0,1,2019/20,5.23 (Ambulance),43,708
75+,E54000013,NHS Lincolnshire Integrated Care Board,E38000238,NHS Lincolnshire ICB - 71E,3,Rural,NULL,0,1,2021/22,NULL,4,60
60-74,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000241,NHS Humber and North Yorkshire ICB - 42D,NULL,Rural,male,0,1,2019/20,Recommended to Attend A&E,26,312
75+,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E38000049,NHS Hertfordshire and West Essex ICB - 06K,8,Rural,male,0,0,2019/20,Not Recommended to Attend Other Service,22,432
20-34,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E38000079,NHS Hertfordshire and West Essex ICB - 06N,5,Urban,male,0,0,2019/20,Recommended to Attend Primary and Community Care,858,14940
75+,E54000026,NHS Mid and South Essex Integrated Care Board,E38000007,NHS Mid and South Essex ICB - 99E,9,Urban,female,1,1,2020/21,Recommended to Attend Primary and Community Care,1,12
35-59,E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,E38000222,NHS Bristol North Somerset and South Gloucestershire ICB - 15C,1,Urban,male,0,0,2021/22,Recommended to Attend Other Service,32,696
75+,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E38000086,NHS Suffolk and North East Essex ICB - 06L,7,Urban,female,0,1,2020/21,5.23 (Ambulance),65,1260
0-19,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000052,NHS Humber and North Yorkshire ICB - 02Y,5,Rural,female,0,1,2021/22,Recommended to Attend Primary and Community Care,34,492
20-34,E54000038,NHS Somerset Integrated Care Board,E38000150,NHS Somerset ICB - 11X,3,Urban,NULL,0,0,2019/20,Not Recommended to Attend Other Service,1,24
20-34,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000034,NHS Lancashire and South Cumbria ICB - 00X,7,Rural,male,0,0,2021/22,5.26 (Other Service),9,156
20-34,E54000062,NHS Black Country Integrated Care Board,E38000259,NHS Black Country ICB - D2P2L,5,Urban,male,0,0,2021/22,Recommended to Attend A&E,37,780
0-19,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000052,NHS Humber and North Yorkshire ICB - 02Y,1,Rural,male,0,0,2020/21,Not Recommended to Attend Other Service,14,336
20-34,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,9,Rural,female,0,1,2019/20,NULL,6,84
75+,E54000032,NHS Kent and Medway Integrated Care Board,E38000237,NHS Kent and Medway ICB - 91Q,5,Urban,female,0,0,2021/22,Recommended to Attend Primary and Community Care,53,804
75+,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,4,Rural,female,0,1,2021/22,NULL,3,36
20-34,E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,E38000223,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 14Y,7,Rural,female,1,1,2021/22,5.26 (Other Service),1,12
20-34,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000119,NHS Humber and North Yorkshire ICB - 03H,1,Urban,female,0,1,2021/22,5.23 (Ambulance),95,2244
60-74,E54000034,NHS Frimley Integrated Care Board,E38000252,NHS Frimley ICB - D4U1Y,2,Urban,male,1,1,2020/21,Recommended to Attend Primary and Community Care,1,12
75+,E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,E38000097,NHS Leicester Leicestershire and Rutland ICB - 04C,4,Urban,female,0,1,2019/20,5.26 (Other Service),22,408
60-74,E54000026,NHS Mid and South Essex Integrated Care Board,E38000185,NHS Mid and South Essex ICB - 07G,1,Urban,female,0,0,2021/22,5.26 (Other Service),11,264
35-59,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E38000049,NHS Hertfordshire and West Essex ICB - 06K,NULL,Urban,female,0,0,2020/21,5.23 (Ambulance),1193,14316
35-59,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,10,Urban,female,0,0,2020/21,Recommended to Attend Other Service,10,216
75+,E54000061,NHS South Yorkshire Integrated Care Board,E38000146,NHS South Yorkshire ICB - 03N,4,Urban,male,0,0,2021/22,5.23 (Ambulance),49,876
35-59,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E38000086,NHS Suffolk and North East Essex ICB - 06L,10,Urban,male,0,1,2019/20,Recommended to Attend Primary and Community Care,88,1752
