ICB23CD,ICB23NM,Der_Financial_Year,toa,mh_snomed,attends
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2019/20,4,0,1941
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2020/21,17,0,11292
E54000059,NHS Northamptonshire Integrated Care Board,2017/18,21,1,515
E54000043,NHS Gloucestershire Integrated Care Board,2017/18,21,0,1134
E54000063,NHS Surrey Heartlands Integrated Care Board,2017/18,21,0,743
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2021/22,0,0,3908
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,0,0,9637
E54000032,NHS Kent and Medway Integrated Care Board,2021/22,10,1,1690
E54000055,NHS Birmingham and Solihull Integrated Care Board,2021/22,7,1,379
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2021/22,12,1,671
