ICB23CD,ICB23NM,Der_Financial_Year,all_pats,all_calls,mh_pats,mh_calls,mh_freqfly,mh_freqfly_calls
E54000057,NHS Greater Manchester Integrated Care Board,2018/19,308506,490988,11004,13441,55,735
E54000057,NHS Greater Manchester Integrated Care Board,2019/20,331632,534276,11980,14997,77,775
E54000057,NHS Greater Manchester Integrated Care Board,2020/21,380975,610961,16769,20520,93,1132
E54000057,NHS Greater Manchester Integrated Care Board,2021/22,354782,542766,13996,16970,61,933
E54000058,NHS Derby and Derbyshire Integrated Care Board,2017/18,154807,292033,8937,10933,50,635
E54000058,NHS Derby and Derbyshire Integrated Care Board,2018/19,159065,296452,9018,11306,73,737
E54000058,NHS Derby and Derbyshire Integrated Care Board,2019/20,169059,314741,147910,249172,5727,51592
E54000058,NHS Derby and Derbyshire Integrated Care Board,2020/21,192932,369875,161693,278843,6845,59960
E54000058,NHS Derby and Derbyshire Integrated Care Board,2021/22,184820,346296,154816,256658,5570,45796
E54000059,NHS Northamptonshire Integrated Care Board,2017/18,110225,194446,8385,11348,106,1194
E54000059,NHS Northamptonshire Integrated Care Board,2018/19,112553,197650,9023,11805,109,976
E54000059,NHS Northamptonshire Integrated Care Board,2019/20,121453,214858,106045,169293,3254,27486
E54000059,NHS Northamptonshire Integrated Care Board,2020/21,127567,225861,106193,170020,3221,28343
E54000059,NHS Northamptonshire Integrated Care Board,2021/22,124733,216908,102213,157991,2638,21344
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2017/18,159146,281598,21263,31572,497,4331
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2018/19,163347,285938,21102,30145,433,3482
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2019/20,172735,299841,152766,236974,3939,33688
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2020/21,193275,339153,162162,258428,4787,40462
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2021/22,181222,313562,152024,236276,3892,31142
E54000061,NHS South Yorkshire Integrated Care Board,2017/18,183109,308529,170054,271949,5409,42584
E54000061,NHS South Yorkshire Integrated Care Board,2018/19,190869,323919,172507,274235,5269,42384
E54000061,NHS South Yorkshire Integrated Care Board,2019/20,191140,316446,168407,260199,4671,37535
E54000061,NHS South Yorkshire Integrated Care Board,2020/21,218590,371389,180290,283181,4958,45760
E54000061,NHS South Yorkshire Integrated Care Board,2021/22,196564,318245,163030,242265,3255,28681
E54000062,NHS Black Country Integrated Care Board,2017/18,107531,164164,81262,111980,1140,9046
E54000062,NHS Black Country Integrated Care Board,2018/19,144247,235096,104294,149217,1845,14307
E54000062,NHS Black Country Integrated Care Board,2019/20,154715,257911,59557,76240,517,4295
E54000062,NHS Black Country Integrated Care Board,2020/21,211874,373162,157587,242080,3674,34192
E54000062,NHS Black Country Integrated Care Board,2021/22,20065,26045,13156,15945,59,925
E54000063,NHS Surrey Heartlands Integrated Care Board,2017/18,122513,195930,113879,173610,2453,24832
E54000063,NHS Surrey Heartlands Integrated Care Board,2018/19,125736,200344,115053,173073,2372,23313
E54000063,NHS Surrey Heartlands Integrated Care Board,2019/20,133487,392515,112509,273987,8312,67242
E54000063,NHS Surrey Heartlands Integrated Care Board,2020/21,142531,409932,115124,270496,7605,60118
E54000063,NHS Surrey Heartlands Integrated Care Board,2021/22,143627,386858,115970,259796,7092,53992
E54000064,NHS Sussex Integrated Care Board,2017/18,217853,363607,210859,343442,6167,62782
E54000064,NHS Sussex Integrated Care Board,2018/19,213930,352658,201601,319471,5361,53837
E54000064,NHS Sussex Integrated Care Board,2019/20,18019,28353,12575,18485,196,1684
E54000064,NHS Sussex Integrated Care Board,2020/21,25299,36790,15592,21399,178,1594
E54000064,NHS Sussex Integrated Care Board,2021/22,22731,33492,13451,18097,100,1070
