Integrated care boards Code,Integrated care boards,Ethnic group (20 categories) Code,Ethnic group (20 categories),Age (7 categories) Code,Age (7 categories),Observation
E54000008,NHS Cheshire and Merseyside Integrated Care Board,15,White: Gypsy or Irish Traveller,1,Aged 4 years and under,165
E54000008,NHS Cheshire and Merseyside Integrated Care Board,15,White: Gypsy or Irish Traveller,2,Aged 5 to 15 years,381
E54000008,NHS Cheshire and Merseyside Integrated Care Board,15,White: Gypsy or Irish Traveller,3,Aged 16 to 17 years,50
E54000008,NHS Cheshire and Merseyside Integrated Care Board,15,White: Gypsy or Irish Traveller,4,Aged 18 to 20 years,114
E54000008,NHS Cheshire and Merseyside Integrated Care Board,15,White: Gypsy or Irish Traveller,5,Aged 21 to 24 years,122
E54000008,NHS Cheshire and Merseyside Integrated Care Board,15,White: Gypsy or Irish Traveller,6,Aged 25 to 29 years,101
E54000008,NHS Cheshire and Merseyside Integrated Care Board,15,White: Gypsy or Irish Traveller,7,Aged 30 years and over,737
E54000008,NHS Cheshire and Merseyside Integrated Care Board,16,White: Roma,1,Aged 4 years and under,160
E54000008,NHS Cheshire and Merseyside Integrated Care Board,16,White: Roma,2,Aged 5 to 15 years,309
E54000008,NHS Cheshire and Merseyside Integrated Care Board,16,White: Roma,3,Aged 16 to 17 years,33
E54000008,NHS Cheshire and Merseyside Integrated Care Board,16,White: Roma,4,Aged 18 to 20 years,102
E54000008,NHS Cheshire and Merseyside Integrated Care Board,16,White: Roma,5,Aged 21 to 24 years,193
E54000008,NHS Cheshire and Merseyside Integrated Care Board,16,White: Roma,6,Aged 25 to 29 years,346
E54000008,NHS Cheshire and Merseyside Integrated Care Board,16,White: Roma,7,Aged 30 years and over,1428
E54000008,NHS Cheshire and Merseyside Integrated Care Board,17,White: Other White,1,Aged 4 years and under,4528
E54000008,NHS Cheshire and Merseyside Integrated Care Board,17,White: Other White,2,Aged 5 to 15 years,9616
E54000008,NHS Cheshire and Merseyside Integrated Care Board,17,White: Other White,3,Aged 16 to 17 years,1544
E54000008,NHS Cheshire and Merseyside Integrated Care Board,17,White: Other White,4,Aged 18 to 20 years,2757
E54000008,NHS Cheshire and Merseyside Integrated Care Board,17,White: Other White,5,Aged 21 to 24 years,4821
E54000008,NHS Cheshire and Merseyside Integrated Care Board,17,White: Other White,6,Aged 25 to 29 years,9101
E54000008,NHS Cheshire and Merseyside Integrated Care Board,17,White: Other White,7,Aged 30 years and over,54088
E54000008,NHS Cheshire and Merseyside Integrated Care Board,18,Other ethnic group: Arab,1,Aged 4 years and under,1126
E54000008,NHS Cheshire and Merseyside Integrated Care Board,18,Other ethnic group: Arab,2,Aged 5 to 15 years,2562
E54000008,NHS Cheshire and Merseyside Integrated Care Board,18,Other ethnic group: Arab,3,Aged 16 to 17 years,404
E54000008,NHS Cheshire and Merseyside Integrated Care Board,18,Other ethnic group: Arab,4,Aged 18 to 20 years,765
E54000008,NHS Cheshire and Merseyside Integrated Care Board,18,Other ethnic group: Arab,5,Aged 21 to 24 years,893
E54000008,NHS Cheshire and Merseyside Integrated Care Board,18,Other ethnic group: Arab,6,Aged 25 to 29 years,1060
E54000008,NHS Cheshire and Merseyside Integrated Care Board,18,Other ethnic group: Arab,7,Aged 30 years and over,5212
E54000008,NHS Cheshire and Merseyside Integrated Care Board,19,Other ethnic group: Any other ethnic group,1,Aged 4 years and under,1219
E54000008,NHS Cheshire and Merseyside Integrated Care Board,19,Other ethnic group: Any other ethnic group,2,Aged 5 to 15 years,2667
E54000008,NHS Cheshire and Merseyside Integrated Care Board,19,Other ethnic group: Any other ethnic group,3,Aged 16 to 17 years,489
E54000008,NHS Cheshire and Merseyside Integrated Care Board,19,Other ethnic group: Any other ethnic group,4,Aged 18 to 20 years,745
E54000008,NHS Cheshire and Merseyside Integrated Care Board,19,Other ethnic group: Any other ethnic group,5,Aged 21 to 24 years,972
E54000008,NHS Cheshire and Merseyside Integrated Care Board,19,Other ethnic group: Any other ethnic group,6,Aged 25 to 29 years,1647
E54000008,NHS Cheshire and Merseyside Integrated Care Board,19,Other ethnic group: Any other ethnic group,7,Aged 30 years and over,9821
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,-8,Does not apply,1,Aged 4 years and under,0
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,-8,Does not apply,2,Aged 5 to 15 years,0
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,-8,Does not apply,3,Aged 16 to 17 years,0
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,-8,Does not apply,4,Aged 18 to 20 years,0
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,-8,Does not apply,5,Aged 21 to 24 years,0
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,-8,Does not apply,6,Aged 25 to 29 years,0
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,-8,Does not apply,7,Aged 30 years and over,0
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,"Asian, Asian British or Asian Welsh: Bangladeshi",1,Aged 4 years and under,192
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,"Asian, Asian British or Asian Welsh: Bangladeshi",2,Aged 5 to 15 years,560
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,"Asian, Asian British or Asian Welsh: Bangladeshi",3,Aged 16 to 17 years,88
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,"Asian, Asian British or Asian Welsh: Bangladeshi",4,Aged 18 to 20 years,145
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,"Asian, Asian British or Asian Welsh: Bangladeshi",5,Aged 21 to 24 years,208
